Product Card Id,Product Name,Total_Demand,Demand_Share,Cumulative_Demand_Share,ABC_Class,Safety_Stock_Days,Target_Coverage_Days,Average_Weekly_Demand,Average_Daily_Demand,Buffer_Factor,Initial_Inventory
365,Perfect Fitness Perfect Rip Deck,73698,0.19188239919391584,0.19188239919391584,A,21,45,508.26206896551724,72.6088669950739,2.0,6535
502,Nike Men's Dri-FIT Victory Golf Polo,62956,0.1639141947359788,0.3557965939298946,A,21,45,434.17931034482757,62.025615763546796,2.0,5582
1014,O'Brien Men's Neoprene Life Vest,57803,0.1504976840702043,0.506294278000099,A,21,45,398.6413793103448,56.9487684729064,2.0,5125
191,Nike Men's Free 5.0+ Running Shoe,36680,0.09550118595393135,0.6017954639540303,A,21,45,252.9655172413793,36.137931034482754,2.0,3252
627,Under Armour Girls' Toddler Spine Surge Runni,31735,0.08262623054111264,0.6844216944951429,A,21,45,218.86206896551724,31.266009852216747,2.0,2814
403,Nike Men's CJ Elite 2 TD Football Cleat,22246,0.05792037575602936,0.7423420702511723,B,14,30,153.42068965517242,21.917241379310347,3.0,1973
1004,Field & Stream Sportsman 16 Gun Fire Safe,17325,0.04510790748778246,0.7874499777389548,B,14,30,119.48275862068965,17.068965517241377,3.0,1536
1073,Pelican Sunstream 100 Kayak,15500,0.04035628086930033,0.8278062586082551,B,14,30,106.89655172413794,15.270935960591133,3.0,1374
957,Diamondback Women's Serene Classic Comfort Bi,13729,0.03574525032610479,0.8635515089343598,B,14,30,94.68275862068965,13.526108374384236,3.0,1217
977,ENO Atlas Hammock Straps,998,0.002598423761778176,0.866149932696138,B,14,30,8.24793388429752,1.17827626918536,3.0,106
116,Nike Men's Comfort 2 Slide,991,0.002580198344611395,0.8687301310407495,B,14,30,8.258333333333333,1.1797619047619048,3.0,106
565,adidas Youth Germany Black/Red Away Match Soc,969,0.002522918462087227,0.8712530495028367,B,14,30,8.008264462809917,1.1440377804014168,3.0,103
885,Team Golf St. Louis Cardinals Putter Grip,958,0.002494278520825143,0.8737473280236618,B,14,30,8.050420168067227,1.1500600240096037,3.0,104
728,LIJA Women's Eyelet Sleeveless Golf Polo,946,0.0024630349485392326,0.8762103629722011,B,14,30,7.883333333333334,1.1261904761904762,3.0,101
804,Glove It Women's Imperial Golf Glove,941,0.0024500167934201037,0.8786603797656212,B,14,30,7.776859504132231,1.1109799291617473,3.0,100
44,adidas Men's F10 Messi TRX FG Soccer Cleat,939,0.002444809531372452,0.8811051892969937,B,14,30,7.825,1.1178571428571429,3.0,101
926,Glove It Imperial Golf Towel,930,0.0024213768521580198,0.8835265661491517,B,14,30,7.68595041322314,1.0979929161747344,3.0,99
