Plant_ID,Product Card Id,Product Name,Order_Date,Weekly_Demand,Initial_Inventory,Target_Coverage_Days,Average_Daily_Demand,Review_Cycle,Beginning_Inventory,Ending_Inventory,Replenishment_Qty,Target_Inventory
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-04-30,2,48,21,0.4571428571428572,0,48.0,46.0,0,10
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-05-07,3,48,21,0.4571428571428572,0,46.0,43.0,0,10
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-05-14,1,48,21,0.4571428571428572,0,43.0,42.0,0,10
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-05-21,3,48,21,0.4571428571428572,0,42.0,39.0,0,10
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-05-28,6,48,21,0.4571428571428572,1,39.0,33.0,0,10
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-06-04,3,48,21,0.4571428571428572,1,33.0,30.0,0,10
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-06-11,2,48,21,0.4571428571428572,1,30.0,28.0,0,10
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-06-18,2,48,21,0.4571428571428572,1,28.0,26.0,0,10
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-06-25,2,48,21,0.4571428571428572,2,26.0,24.0,0,10
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-07-02,7,48,21,0.4571428571428572,2,24.0,17.0,0,10
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-07-09,2,48,21,0.4571428571428572,2,17.0,15.0,0,10
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-07-16,3,48,21,0.4571428571428572,2,15.0,12.0,0,10
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-07-23,4,48,21,0.4571428571428572,3,12.0,8.0,0,10
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-07-30,3,48,21,0.4571428571428572,3,8.0,5.0,0,10
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-08-06,2,48,21,0.4571428571428572,3,5.0,3.0,0,10
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-08-13,1,48,21,0.4571428571428572,3,3.0,2.0,8,10
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-08-20,6,48,21,0.4571428571428572,4,10.0,4.0,0,10
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-08-27,4,48,21,0.4571428571428572,4,4.0,0.0,0,10
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-09-03,5,48,21,0.4571428571428572,4,0.0,0.0,0,10
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-09-10,3,48,21,0.4571428571428572,4,0.0,0.0,10,10
P2,24,Elevation Training Mask 2.0,2017-04-23,4,165,21,1.5714285714285714,0,165.0,161.0,0,33
P2,24,Elevation Training Mask 2.0,2017-04-30,8,165,21,1.5714285714285714,0,161.0,153.0,0,33
P2,24,Elevation Training Mask 2.0,2017-05-07,22,165,21,1.5714285714285714,0,153.0,131.0,0,33
P2,24,Elevation Training Mask 2.0,2017-05-14,6,165,21,1.5714285714285714,0,131.0,125.0,0,33
P2,24,Elevation Training Mask 2.0,2017-05-21,13,165,21,1.5714285714285714,1,125.0,112.0,0,33
P2,24,Elevation Training Mask 2.0,2017-05-28,16,165,21,1.5714285714285714,1,112.0,96.0,0,33
P2,24,Elevation Training Mask 2.0,2017-06-04,15,165,21,1.5714285714285714,1,96.0,81.0,0,33
P2,24,Elevation Training Mask 2.0,2017-06-11,16,165,21,1.5714285714285714,1,81.0,65.0,0,33
P2,24,Elevation Training Mask 2.0,2017-06-18,13,165,21,1.5714285714285714,2,65.0,52.0,0,33
P2,24,Elevation Training Mask 2.0,2017-06-25,18,165,21,1.5714285714285714,2,52.0,34.0,0,33
P2,24,Elevation Training Mask 2.0,2017-07-02,9,165,21,1.5714285714285714,2,34.0,25.0,0,33
P2,24,Elevation Training Mask 2.0,2017-07-09,14,165,21,1.5714285714285714,2,25.0,11.0,22,33
P2,24,Elevation Training Mask 2.0,2017-07-16,5,165,21,1.5714285714285714,3,33.0,28.0,0,33
P2,24,Elevation Training Mask 2.0,2017-07-23,8,165,21,1.5714285714285714,3,28.0,20.0,0,33
P2,24,Elevation Training Mask 2.0,2017-07-30,13,165,21,1.5714285714285714,3,20.0,7.0,0,33
P2,24,Elevation Training Mask 2.0,2017-08-06,7,165,21,1.5714285714285714,3,7.0,0.0,33,33
P2,24,Elevation Training Mask 2.0,2017-08-13,14,165,21,1.5714285714285714,4,33.0,19.0,0,33
P2,24,Elevation Training Mask 2.0,2017-08-20,7,165,21,1.5714285714285714,4,19.0,12.0,0,33
P2,24,Elevation Training Mask 2.0,2017-08-27,8,165,21,1.5714285714285714,4,12.0,4.0,0,33
P2,24,Elevation Training Mask 2.0,2017-09-03,6,165,21,1.5714285714285714,4,4.0,0.0,33,33
P2,24,Elevation Training Mask 2.0,2017-09-10,9,165,21,1.5714285714285714,5,33.0,24.0,0,33
P2,35,adidas Brazuca 2014 Official Match Ball,2017-04-30,5,46,21,0.4421768707482993,0,46.0,41.0,0,9
P2,35,adidas Brazuca 2014 Official Match Ball,2017-05-07,4,46,21,0.4421768707482993,0,41.0,37.0,0,9
P2,35,adidas Brazuca 2014 Official Match Ball,2017-05-14,2,46,21,0.4421768707482993,0,37.0,35.0,0,9
P2,35,adidas Brazuca 2014 Official Match Ball,2017-05-21,1,46,21,0.4421768707482993,0,35.0,34.0,0,9
P2,35,adidas Brazuca 2014 Official Match Ball,2017-05-28,5,46,21,0.4421768707482993,1,34.0,29.0,0,9
P2,35,adidas Brazuca 2014 Official Match Ball,2017-06-04,4,46,21,0.4421768707482993,1,29.0,25.0,0,9
P2,35,adidas Brazuca 2014 Official Match Ball,2017-06-11,2,46,21,0.4421768707482993,1,25.0,23.0,0,9
P2,35,adidas Brazuca 2014 Official Match Ball,2017-06-18,4,46,21,0.4421768707482993,1,23.0,19.0,0,9
P2,35,adidas Brazuca 2014 Official Match Ball,2017-06-25,4,46,21,0.4421768707482993,2,19.0,15.0,0,9
