Plant_ID,Product Card Id,Product Name,Order_Date,Weekly_Demand
P1,172,Nike Women's Tempo Shorts,2015-01-04,6
P1,172,Nike Women's Tempo Shorts,2015-01-11,11
P1,172,Nike Women's Tempo Shorts,2015-01-18,11
P1,172,Nike Women's Tempo Shorts,2015-01-25,18
P1,172,Nike Women's Tempo Shorts,2015-02-01,4
P1,172,Nike Women's Tempo Shorts,2015-02-08,9
P1,172,Nike Women's Tempo Shorts,2015-02-15,9
P1,172,Nike Women's Tempo Shorts,2015-02-22,9
P1,172,Nike Women's Tempo Shorts,2015-03-01,5
P1,172,Nike Women's Tempo Shorts,2015-03-08,6
P1,172,Nike Women's Tempo Shorts,2015-03-15,7
P1,172,Nike Women's Tempo Shorts,2015-03-22,9
P1,172,Nike Women's Tempo Shorts,2015-03-29,2
P1,172,Nike Women's Tempo Shorts,2015-04-05,2
P1,172,Nike Women's Tempo Shorts,2015-04-12,11
P1,172,Nike Women's Tempo Shorts,2015-04-19,2
P1,172,Nike Women's Tempo Shorts,2015-04-26,14
P1,172,Nike Women's Tempo Shorts,2015-05-03,19
P1,172,Nike Women's Tempo Shorts,2015-05-10,16
P1,172,Nike Women's Tempo Shorts,2015-05-17,4
P1,172,Nike Women's Tempo Shorts,2015-05-24,1
P1,172,Nike Women's Tempo Shorts,2015-05-31,13
P1,172,Nike Women's Tempo Shorts,2015-06-07,10
P1,172,Nike Women's Tempo Shorts,2015-06-14,3
P1,172,Nike Women's Tempo Shorts,2015-06-21,10
P1,172,Nike Women's Tempo Shorts,2015-06-28,7
P1,172,Nike Women's Tempo Shorts,2015-07-05,6
P1,172,Nike Women's Tempo Shorts,2015-07-12,9
P1,172,Nike Women's Tempo Shorts,2015-07-19,13
P1,172,Nike Women's Tempo Shorts,2015-07-26,10
P1,172,Nike Women's Tempo Shorts,2015-08-02,2
P1,172,Nike Women's Tempo Shorts,2015-08-09,9
P1,172,Nike Women's Tempo Shorts,2015-08-16,2
P1,172,Nike Women's Tempo Shorts,2015-08-23,12
P1,172,Nike Women's Tempo Shorts,2015-08-30,2
P1,172,Nike Women's Tempo Shorts,2015-09-06,25
P1,172,Nike Women's Tempo Shorts,2015-09-13,15
P1,172,Nike Women's Tempo Shorts,2015-09-20,6
P1,172,Nike Women's Tempo Shorts,2015-09-27,0
P1,172,Nike Women's Tempo Shorts,2015-10-04,1
P1,172,Nike Women's Tempo Shorts,2015-10-11,23
P1,172,Nike Women's Tempo Shorts,2015-10-18,6
P1,172,Nike Women's Tempo Shorts,2015-10-25,7
P1,172,Nike Women's Tempo Shorts,2015-11-01,2
P1,172,Nike Women's Tempo Shorts,2015-11-08,2
P1,172,Nike Women's Tempo Shorts,2015-11-15,6
P1,172,Nike Women's Tempo Shorts,2015-11-22,3
P1,172,Nike Women's Tempo Shorts,2015-11-29,3
P1,172,Nike Women's Tempo Shorts,2015-12-06,4
P1,172,Nike Women's Tempo Shorts,2015-12-13,8
P1,172,Nike Women's Tempo Shorts,2015-12-20,3
P1,172,Nike Women's Tempo Shorts,2015-12-27,3
P1,172,Nike Women's Tempo Shorts,2016-01-03,6
P1,172,Nike Women's Tempo Shorts,2016-01-10,22
P1,172,Nike Women's Tempo Shorts,2016-01-17,0
P1,172,Nike Women's Tempo Shorts,2016-01-24,3
P1,172,Nike Women's Tempo Shorts,2016-01-31,5
P1,172,Nike Women's Tempo Shorts,2016-02-07,11
P1,172,Nike Women's Tempo Shorts,2016-02-14,4
P1,172,Nike Women's Tempo Shorts,2016-02-21,19
P1,172,Nike Women's Tempo Shorts,2016-02-28,3
P1,172,Nike Women's Tempo Shorts,2016-03-06,5
P1,172,Nike Women's Tempo Shorts,2016-03-13,8
P1,172,Nike Women's Tempo Shorts,2016-03-20,8
P1,172,Nike Women's Tempo Shorts,2016-03-27,10
P1,172,Nike Women's Tempo Shorts,2016-04-03,2
P1,172,Nike Women's Tempo Shorts,2016-04-10,5
P1,172,Nike Women's Tempo Shorts,2016-04-17,0
P1,172,Nike Women's Tempo Shorts,2016-04-24,5
P1,172,Nike Women's Tempo Shorts,2016-05-01,6
P1,172,Nike Women's Tempo Shorts,2016-05-08,9
P1,172,Nike Women's Tempo Shorts,2016-05-15,9
P1,172,Nike Women's Tempo Shorts,2016-05-22,5
P1,172,Nike Women's Tempo Shorts,2016-05-29,1
P1,172,Nike Women's Tempo Shorts,2016-06-05,1
P1,172,Nike Women's Tempo Shorts,2016-06-12,21
P1,172,Nike Women's Tempo Shorts,2016-06-19,3
P1,172,Nike Women's Tempo Shorts,2016-06-26,4
P1,172,Nike Women's Tempo Shorts,2016-07-03,4
P1,172,Nike Women's Tempo Shorts,2016-07-10,6
P1,172,Nike Women's Tempo Shorts,2016-07-17,5
P1,172,Nike Women's Tempo Shorts,2016-07-24,4
P1,172,Nike Women's Tempo Shorts,2016-07-31,10
P1,172,Nike Women's Tempo Shorts,2016-08-07,17
P1,172,Nike Women's Tempo Shorts,2016-08-14,8
P1,172,Nike Women's Tempo Shorts,2016-08-21,9
P1,172,Nike Women's Tempo Shorts,2016-08-28,1
P1,172,Nike Women's Tempo Shorts,2016-09-04,3
P1,172,Nike Women's Tempo Shorts,2016-09-11,7
P1,172,Nike Women's Tempo Shorts,2016-09-18,9
P1,172,Nike Women's Tempo Shorts,2016-09-25,1
P1,172,Nike Women's Tempo Shorts,2016-10-02,9
P1,172,Nike Women's Tempo Shorts,2016-10-09,3
